player_name,shot_type,fga,fgm,pps,fg_pct,rate
Richard Jefferson,dunk,997,878,1.761283851554664,0.880641925777332,0.08982791242454276
Marcus Camby,dunk,965,870,1.8031088082901554,0.9015544041450777,0.11947505261854649
Tristan Thompson,dunk,977,865,1.7707267144319345,0.8853633572159673,0.18409647635198795
Andrei Kirilenko,dunk,880,841,1.9113636363636364,0.9556818181818182,0.13259002561398223
Steven Adams,dunk,951,832,1.7497371188222923,0.8748685594111462,0.19870455495194317
John Collins,dunk,932,828,1.7768240343347639,0.8884120171673819,0.17323420074349444
Erick Dampier,dunk,903,827,1.831672203765227,0.9158361018826136,0.1613941018766756
Al Horford,dunk,872,825,1.8922018348623852,0.9461009174311926,0.07327731092436975
Serge Ibaka,dunk,891,816,1.8316498316498318,0.9158249158249159,0.09993270524899057
Brendan Haywood,dunk,826,799,1.9346246973365617,0.9673123486682809,0.20655163790947736
Mitchell Robinson,dunk,878,771,1.75626423690205,0.878132118451025,0.5439900867410161
Tracy McGrady,dunk,834,769,1.8441247002398082,0.9220623501199041,0.05411016674236035
Taj Gibson,dunk,824,760,1.8446601941747574,0.9223300970873787,0.12247324613555291
David Lee,dunk,790,752,1.9037974683544303,0.9518987341772152,0.09223584354932866
Eddy Curry,dunk,809,748,1.8491965389369591,0.9245982694684796,0.17089142374313476
Chris Wilcox,dunk,821,741,1.805115712545676,0.902557856272838,0.21138002059732236
Jeff Green,dunk,820,736,1.7951219512195122,0.8975609756097561,0.07096495023799221
Emeka Okafor,dunk,797,729,1.8293601003764115,0.9146800501882058,0.13584455428668826
Dale Davis,dunk,752,726,1.9308510638297873,0.9654255319148937,0.17870722433460076
Jonas Valanciunas,dunk,784,723,1.844387755102041,0.9221938775510204,0.09664694280078895
Karl-Anthony Towns,dunk,793,715,1.8032786885245902,0.9016393442622951,0.07608174230068118
Daniel Gafford,dunk,779,708,1.8177150192554556,0.9088575096277278,0.38037109375
Evan Mobley,dunk,722,687,1.9030470914127424,0.9515235457063712,0.223114956736712
Deandre Ayton,dunk,731,683,1.868673050615595,0.9343365253077975,0.1483962647178238
Russell Westbrook,dunk,828,676,1.6328502415458936,0.8164251207729468,0.0385331347728965
Bismack Biyombo,dunk,737,675,1.8317503392130259,0.9158751696065129,0.2299531981279251
Jerry Stackhouse,dunk,705,669,1.897872340425532,0.948936170212766,0.05831747869964431
Jason Richardson,dunk,751,669,1.781624500665779,0.8908122503328895,0.05922712933753943
Kenneth Faried,dunk,735,667,1.8149659863945578,0.9074829931972789,0.1833374906460464
Alex Len,dunk,751,662,1.762982689747004,0.881491344873502,0.2151246061300487
Thaddeus Young,dunk,719,661,1.838664812239221,0.9193324061196105,0.0589247664317325
Andrew Bogut,dunk,712,657,1.845505617977528,0.922752808988764,0.12748433303491494
Nerlens Noel,dunk,706,641,1.8158640226628895,0.9079320113314447,0.28038125496425736
Dikembe Mutombo,dunk,685,640,1.8686131386861313,0.9343065693430657,0.15031819179284617
