player_name,shot_type,fga,fgm,pps,fg_pct,rate
Jonathan Mogbo,dunk,77,66,1.7142857142857142,0.8571428571428571,0.21629213483146068
John Collins,dunk,69,66,1.9130434782608696,0.9565217391304348,0.12994350282485875
Anthony Edwards,3pt_all,811,320,1.183723797780518,0.39457459926017263,0.5031017369727047
Malik Beasley,3pt_all,766,319,1.2493472584856398,0.4164490861618799,0.715219421101774
Stephen Curry,3pt_all,784,311,1.1900510204081634,0.39668367346938777,0.6232114467408585
Derrick White,3pt_all,691,265,1.150506512301013,0.3835021707670043,0.7205422314911366
Payton Pritchard,3pt_all,626,255,1.2220447284345048,0.4073482428115016,0.7228637413394919
Tyler Herro,3pt_all,670,251,1.1238805970149253,0.3746268656716418,0.4862119013062409
Jayson Tatum,3pt_all,728,250,1.0302197802197801,0.3434065934065934,0.4969283276450512
Zach LaVine,3pt_all,536,239,1.337686567164179,0.4458955223880597,0.4382665576451349
James Harden,3pt_all,668,235,1.0553892215568863,0.35179640718562877,0.5158301158301158
Jordan Poole,3pt_all,622,235,1.1334405144694535,0.3778135048231511,0.5884578997161779
Jalen Green,3pt_all,661,234,1.0620272314674735,0.3540090771558245,0.45998608211551845
Donovan Mitchell,3pt_all,633,233,1.1042654028436019,0.36808846761453395,0.47954545454545455
Trae Young,3pt_all,642,218,1.0186915887850467,0.3395638629283489,0.46656976744186046
Tyrese Haliburton,3pt_all,562,218,1.1637010676156583,0.3879003558718861,0.558648111332008
Coby White,3pt_all,584,216,1.1095890410958904,0.3698630136986301,0.5209634255129348
Klay Thompson,3pt_all,553,216,1.1717902350813743,0.39059674502712477,0.6305587229190421
Anfernee Simons,3pt_all,593,215,1.087689713322091,0.3625632377740304,0.5271111111111111
Darius Garland,3pt_all,529,212,1.2022684310018903,0.4007561436672968,0.4505962521294719
Buddy Hield,3pt_all,549,203,1.1092896174863387,0.3697632058287796,0.6984732824427481
Austin Reaves,3pt_all,531,200,1.1299435028248588,0.3766478342749529,0.5120540019286403
Damian Lillard,3pt_all,524,197,1.1278625954198473,0.37595419847328243,0.5282258064516129
Michael Porter Jr.,3pt_all,489,193,1.1840490797546013,0.3946830265848671,0.4666030534351145
Isaiah Joe,3pt_all,466,192,1.2360515021459229,0.41201716738197425,0.7925170068027211
Duncan Robinson,3pt_all,483,190,1.1801242236024845,0.39337474120082816,0.7285067873303167
Dillon Brooks,3pt_all,469,186,1.1897654584221748,0.39658848614072495,0.524022346368715
Devin Booker,3pt_all,551,183,0.9963702359346642,0.33212341197822143,0.3880281690140845
Gary Trent Jr.,3pt_all,433,180,1.2471131639722863,0.41570438799076215,0.6590563165905632
LaMelo Ball,3pt_all,528,179,1.0170454545454546,0.3390151515151515,0.5264207377866401
Norman Powell,3pt_all,428,179,1.2546728971962617,0.4182242990654206,0.45291005291005293
Royce O'Neale,3pt_all,441,179,1.217687074829932,0.40589569160997735,0.7736842105263158
Julian Champagnie,3pt_all,480,178,1.1125,0.37083333333333335,0.7218045112781954
Luka Dončić,3pt_all,481,177,1.1039501039501038,0.367983367983368,0.4692682926829268
Naz Reid,3pt_all,462,175,1.1363636363636365,0.3787878787878788,0.5005417118093174
Donte DiVincenzo,3pt_all,438,174,1.1917808219178083,0.3972602739726027,0.7386172006745363
Keyonte George,3pt_all,507,174,1.029585798816568,0.3431952662721893,0.5516866158868335
CJ McCollum,3pt_all,459,171,1.1176470588235294,0.37254901960784315,0.459
OG Anunoby,3pt_all,460,171,1.1152173913043477,0.3717391304347826,0.44790652385589097
Luguentz Dort,3pt_all,413,170,1.234866828087167,0.4116222760290557,0.6964586846543002
Tim Hardaway Jr.,3pt_all,457,168,1.1028446389496718,0.3676148796498906,0.6720588235294118
Georges Niang,3pt_all,409,166,1.21760391198044,0.4058679706601467,0.6596774193548387
